sample_id,component,material,load_case,thickness_mm,cross_section_area_cm2,applied_load_kN,load_factor_g,von_mises_stress_MPa,effective_stress_MPa,stress_concentration_Kt,stress_ratio_R,strain,deformation_mm,elastic_modulus_GPa,yield_strength_MPa,density_g_cm3,temperature_C,fatigue_cycles,fatigue_limit_MPa,crack_length_mm,crack_growth_rate,cumulative_damage_index,safety_margin,utilization_ratio,structural_health_score,rul_cycles,failure_label,risk_class
19,Skin_Panel,Inconel_718,Neg1g_Push_Over,8.28,95.14,844.13,2.074,103.73,207.45,2.0,-0.397,0.0004,0.4439,200.0,1034,8.19,28.9,21893,620,50.0,0.0002220871,0.0,4.984,0.2006,70.6,49999,0,Medium
20,Landing_Gear,CFRP,2.5g_Pull_Up,10.02,85.55,163.86,1.391,45.31,67.97,1.5,-0.718,0.000283,0.0207,135.0,600,1.6,12.5,9780,300,0.0613,6.27e-09,0.0,8.828,0.1133,95.52,49999,0,Low
21,Bulkhead,Steel_4340,Neg1g_Push_Over,15.4,87.08,190.17,-0.187,20.9,41.81,2.0,-0.923,9.3e-05,0.0724,205.0,470,7.85,-18.8,2248,413,0.9503,4.22717e-07,0.0,10.0,0.0889,91.17,49999,0,Low
22,Engine_Mount,Al_2024-T3,1g_Level_Flight,31.58,9.76,252.69,1.699,260.99,782.96,3.0,-0.529,0.003521,0.6209,73.1,345,2.78,155.6,20327,138,50.0,0.022776647803,0.26,0.441,2.2695,37.51,36998,1,High
23,Fuselage_Frame,Steel_4340,Pressurization,4.73,55.83,829.28,3.276,170.71,256.07,1.5,0.568,0.000693,0.3012,205.0,470,7.85,46.9,1023,413,50.0,0.000579131419,0.0,1.835,0.5448,78.68,49998,0,Low
24,Skin_Panel,Al_2024-T3,1g_Level_Flight,8.63,99.09,840.16,2.28,67.89,135.78,2.0,0.161,0.001085,0.216,73.1,345,2.78,94.8,42824,138,50.0,3.867314e-06,0.0025,2.541,0.3936,70.77,49874,0,Medium
25,Tail_Assembly,Inconel_718,Gust_Load,20.9,112.41,677.71,1.618,43.77,109.43,2.5,-0.372,0.000222,0.1902,200.0,1034,8.19,15.8,27581,620,43.3907,1.57321e-06,0.0,9.449,0.1058,70.9,49999,0,Medium
26,Bulkhead,Al_7075-T6,Hard_Landing,28.68,31.39,538.41,0.671,158.94,158.94,1.0,-0.591,0.002374,0.5898,71.7,503,2.81,109.4,49490,159,50.0,3.2411888e-05,0.0494,3.165,0.316,76.64,47529,0,Low
27,Bulkhead,Ti-6Al-4V,Ground_Taxi,34.64,71.61,446.85,2.096,62.96,125.92,2.0,-0.539,0.000442,0.243,113.8,880,4.43,-45.9,4288,510,47.915,1.1174204e-05,0.0,6.989,0.1431,77.28,49999,0,Low
28,Fuselage_Frame,Steel_4340,Pressurization,12.9,97.5,825.32,3.246,85.17,127.75,1.5,0.216,0.000369,0.0547,205.0,470,7.85,90.1,9844,413,50.0,2.0690746e-05,0.0,3.679,0.2718,65.11,49999,0,Medium
29,Skin_Panel,Steel_4340,2.5g_Pull_Up,13.38,91.53,594.32,2.584,56.63,141.59,2.5,-0.708,0.000276,0.4285,205.0,470,7.85,4.3,3217,413,50.0,3.3084841e-05,0.0,3.32,0.3012,69.03,49999,0,Medium
30,Tail_Assembly,Ti-6Al-4V,Pressurization,11.67,76.17,803.57,2.822,100.99,151.48,1.5,-0.758,0.001032,0.1702,113.8,880,4.43,97.0,8234,510,5.0975,6.19082e-07,0.0,5.809,0.1721,86.83,49999,0,Low
31,Engine_Mount,Steel_4340,Hard_Landing,19.63,7.15,275.9,3.24,377.81,755.62,2.0,0.142,0.001999,0.2104,205.0,470,7.85,119.9,4189,413,50.0,0.01472280085,0.0029,0.622,1.6077,46.38,49853,0,High
32,Wing_Spar,Steel_4340,2.5g_Pull_Up,18.8,88.25,290.37,0.64,25.53,38.29,1.5,0.583,7.3e-05,0.513,205.0,470,7.85,172.3,28736,413,6.5713,2.28679e-07,0.0,10.0,0.0815,93.88,49999,0,Low
33,Tail_Assembly,Al_2024-T3,1g_Level_Flight,12.04,93.92,727.97,0.241,65.98,131.96,2.0,0.399,0.000821,0.3848,73.1,345,2.78,7.1,1944,138,18.8419,9.692336e-06,0.0001,2.614,0.3825,86.59,49994,0,Low
34,Fuselage_Frame,Al_2024-T3,Pressurization,25.4,88.13,135.88,3.493,5.0,12.5,2.5,-0.845,5.9e-05,0.3372,73.1,345,2.78,25.0,3825,138,0.0203,5.312e-09,0.0,10.0,0.0362,94.72,49999,0,Low
35,Bulkhead,Ti-6Al-4V,Ground_Taxi,31.13,93.07,804.58,-0.909,56.44,56.44,1.0,0.407,0.000607,0.1429,113.8,880,4.43,41.6,4599,510,2.2044,4.7933e-07,0.0,10.0,0.0641,95.5,49999,0,Low
36,Engine_Mount,Al_7075-T6,Ground_Taxi,20.83,54.56,436.28,-0.71,76.61,114.92,1.5,0.625,0.001074,0.7655,71.7,503,2.81,91.3,20102,159,50.0,1.8718604e-05,0.0011,4.377,0.2285,76.49,49945,0,Low
37,Tail_Assembly,Inconel_718,1g_Level_Flight,11.71,119.28,788.19,1.325,36.74,55.12,1.5,0.252,0.000207,0.001,200.0,1034,8.19,83.5,14928,620,0.4533,3.0368e-08,0.0,10.0,0.0533,85.99,49999,0,Low
38,Wing_Spar,Inconel_718,Neg1g_Push_Over,14.03,93.64,292.91,-0.977,42.54,42.54,1.0,0.382,0.000323,0.2376,200.0,1034,8.19,283.3,2197,620,1.3548,6.16652e-07,0.0,10.0,0.0411,97.11,49999,0,Low
39,Wing_Spar,Steel_4340,Ground_Taxi,17.8,71.55,611.41,0.006,77.05,231.16,3.0,0.581,0.00047,0.001,205.0,470,7.85,186.8,13957,413,50.0,0.000112554255,0.0,2.033,0.4918,55.62,49999,0,Medium
40,Landing_Gear,Al_7075-T6,Neg1g_Push_Over,31.34,112.43,415.62,0.863,35.17,70.35,2.0,-0.048,0.000589,0.001,71.7,503,2.81,-28.5,28104,159,6.4317,2.28855e-07,0.0001,7.15,0.1399,84.46,49996,0,Low
41,Landing_Gear,Ti-6Al-4V,2.5g_Pull_Up,29.78,109.44,536.52,2.284,43.42,43.42,1.0,-0.025,0.000444,0.1961,113.8,880,4.43,8.6,9028,510,0.1294,1.4335e-08,0.0,10.0,0.0493,100.0,49999,0,Low
42,Rib_Section,Ti-6Al-4V,Ground_Taxi,25.18,98.68,433.67,2.703,40.29,80.58,2.0,0.089,0.000489,0.001,113.8,880,4.43,62.7,14194,510,30.4756,2.147076e-06,0.0,10.0,0.0916,86.65,49999,0,Low
43,Fuselage_Frame,Al_2024-T3,Gust_Load,4.4,69.82,822.38,0.486,136.73,341.82,2.5,-0.627,0.001749,1.1663,73.1,345,2.78,-14.8,11388,138,50.0,9.5561304e-05,0.011,1.009,0.9908,62.96,49451,0,Medium
44,Skin_Panel,Steel_4340,1g_Level_Flight,16.85,65.62,591.37,-0.743,69.85,69.85,1.0,-0.224,0.000566,0.001,205.0,470,7.85,1.5,6643,413,2.2126,3.33077e-07,0.0,6.728,0.1486,94.03,49999,0,Low
45,Tail_Assembly,CFRP,Pressurization,29.24,42.8,221.11,1.201,27.31,54.62,2.0,-0.045,0.000308,0.1291,135.0,600,1.6,25.9,100,300,0.0011,1.1068e-08,0.0,10.0,0.091,95.79,49999,0,Low
46,Tail_Assembly,Ti-6Al-4V,Neg1g_Push_Over,27.04,33.85,774.13,-0.134,230.48,230.48,1.0,-0.921,0.002009,0.5803,113.8,880,4.43,48.2,3092,510,50.0,0.000365869268,0.0001,3.818,0.2619,77.72,49993,0,Low
47,Skin_Panel,Steel_4340,Gust_Load,28.02,63.92,256.98,-0.866,32.77,81.91,2.5,-0.139,0.000271,0.0729,205.0,470,7.85,102.8,44107,413,50.0,1.51265e-06,0.0,5.738,0.1743,68.15,49999,0,Medium
48,Rib_Section,Al_7075-T6,2.5g_Pull_Up,10.86,71.44,322.15,0.249,50.48,50.48,1.0,0.142,0.000669,0.001,71.7,503,2.81,85.8,6569,159,5.786,8.80807e-07,0.0001,9.963,0.1004,96.52,49996,0,Low
49,Bulkhead,Al_2024-T3,2.5g_Pull_Up,16.11,33.12,95.78,0.891,39.67,79.34,2.0,0.351,0.00059,0.7674,73.1,345,2.78,7.9,5288,138,25.6402,4.848744e-06,0.0,4.349,0.23,92.38,49998,0,Low
50,Bulkhead,Inconel_718,Ground_Taxi,31.62,111.1,765.97,0.035,52.35,52.35,1.0,-0.916,0.000321,0.3949,200.0,1034,8.19,79.4,14274,620,12.8397,8.99517e-07,0.0,10.0,0.0506,93.73,49999,0,Low
51,Rib_Section,Al_7075-T6,Ground_Taxi,17.04,69.09,250.33,0.845,45.29,45.29,1.0,-0.015,0.000718,0.3977,71.7,503,2.81,90.7,35119,159,20.7326,5.90354e-07,0.0002,10.0,0.09,92.97,49988,0,Low
52,Bulkhead,Ti-6Al-4V,Gust_Load,34.91,65.55,227.49,-0.558,19.38,38.75,2.0,0.369,0.000124,0.2866,113.8,880,4.43,36.4,5402,510,0.0066,1.226e-09,0.0,10.0,0.044,92.36,49999,0,Low
53,Landing_Gear,Ti-6Al-4V,Hard_Landing,14.31,55.1,783.02,2.874,143.23,143.23,1.0,-0.667,0.001347,0.767,113.8,880,4.43,-3.2,3786,510,50.0,3.7104055e-05,0.0,6.144,0.1628,80.4,49998,0,Low
54,Tail_Assembly,Al_7075-T6,Hard_Landing,25.06,11.68,686.64,1.81,569.42,569.42,1.0,-0.386,0.007897,1.5191,71.7,503,2.81,110.0,34836,159,50.0,0.008592505899,5.0,0.883,1.132,42.76,0,1,High
55,Rib_Section,Ti-6Al-4V,Ground_Taxi,26.39,106.48,128.51,0.002,14.05,42.15,3.0,-0.856,0.000197,0.2371,113.8,880,4.43,113.4,22275,510,2.5614,1.14988e-07,0.0,10.0,0.0479,86.81,49999,0,Low
56,Tail_Assembly,Steel_4340,Hard_Landing,5.4,41.45,656.23,1.626,157.99,315.98,2.0,-0.285,0.000769,0.001,205.0,470,7.85,-15.7,18189,413,50.0,0.00041261592,0.0004,1.487,0.6723,72.02,49980,0,Medium
57,Skin_Panel,Ti-6Al-4V,1g_Level_Flight,9.56,78.88,776.95,1.359,81.95,122.92,1.5,-0.526,0.000538,0.2556,113.8,880,4.43,82.4,12219,510,50.0,2.6818106e-05,0.0,7.159,0.1397,81.95,49999,0,Low
58,Wing_Spar,Al_2024-T3,Gust_Load,26.79,74.85,75.95,1.892,5.0,10.0,2.0,-0.36,1e-05,0.0473,73.1,345,2.78,128.9,8315,138,0.0202,2.428e-09,0.0,10.0,0.029,90.83,49999,0,Low
59,Landing_Gear,Steel_4340,1g_Level_Flight,29.36,72.22,703.18,2.094,108.63,380.21,3.5,-0.675,0.000615,0.4287,205.0,470,7.85,-54.6,15235,413,50.0,0.000573227247,0.0001,1.236,0.809,66.39,49996,0,Medium
60,Engine_Mount,CFRP,Hard_Landing,17.94,65.46,469.83,1.896,64.98,97.47,1.5,-0.505,0.000451,0.1791,135.0,600,1.6,136.2,3667,300,7.8054,2.128551e-06,0.0,6.156,0.1625,85.3,49999,0,Low
61,Landing_Gear,Ti-6Al-4V,Ground_Taxi,15.86,25.87,572.13,-0.766,236.37,354.56,1.5,-0.289,0.002198,1.1697,113.8,880,4.43,25.9,25503,510,50.0,0.000111796774,0.0012,2.482,0.4029,68.89,49941,0,Medium
62,Rib_Section,Ti-6Al-4V,1g_Level_Flight,3.12,37.27,424.0,1.119,105.61,158.42,1.5,-0.974,0.000807,0.9089,113.8,880,4.43,40.6,8077,510,50.0,6.924292e-06,0.0,5.555,0.18,77.34,49999,0,Low
63,Engine_Mount,Al_2024-T3,2.5g_Pull_Up,10.57,65.28,596.15,2.569,110.85,110.85,1.0,-0.422,0.001586,0.4394,73.1,345,2.78,224.5,21081,138,50.0,3.216379e-06,0.0088,3.112,0.3213,62.44,49561,0,Medium
64,Wing_Spar,Al_2024-T3,Pressurization,31.48,95.77,38.64,2.151,5.0,7.5,1.5,-0.723,6.4e-05,0.1337,73.1,345,2.78,259.0,25044,138,0.0001,3e-12,0.0,10.0,0.0217,86.16,49999,0,Low
65,Rib_Section,Inconel_718,Ground_Taxi,25.23,54.68,650.67,2.587,141.09,282.18,2.0,0.682,0.000681,0.7015,200.0,1034,8.19,5.3,1174,620,50.0,0.000647168441,0.0,3.664,0.2729,75.81,49999,0,Low
66,Fuselage_Frame,Al_7075-T6,Gust_Load,28.74,28.45,38.01,1.909,15.97,23.96,1.5,-0.336,0.000105,0.1676,71.7,503,2.81,88.8,16879,159,1.0083,5.9738e-08,0.0,10.0,0.0476,85.99,49999,0,Low
67,Tail_Assembly,Al_7075-T6,Neg1g_Push_Over,4.65,15.11,392.45,2.148,265.66,398.5,1.5,-0.291,0.003726,1.4082,71.7,503,2.81,3.7,5409,159,50.0,6.434219e-05,0.0422,1.262,0.7922,83.13,47892,0,Low
68,Wing_Spar,Al_7075-T6,Neg1g_Push_Over,22.59,81.25,136.81,2.206,5.0,5.0,1.0,0.597,1e-05,0.001,71.7,503,2.81,122.4,6666,159,0.0009,1.41e-10,0.0,10.0,0.0099,89.34,49999,0,Low
69,Tail_Assembly,Al_2024-T3,Ground_Taxi,7.48,53.68,701.8,0.259,141.67,283.33,2.0,0.465,0.001874,1.2059,73.1,345,2.78,64.2,19832,138,50.0,0.000381653477,0.022,1.218,0.8213,60.06,48898,0,Medium
70,Bulkhead,Al_7075-T6,Hard_Landing,15.83,19.42,273.48,1.723,152.3,228.45,1.5,-0.872,0.00211,1.6003,71.7,503,2.81,73.2,47337,159,50.0,4.2991764e-05,0.0398,2.202,0.4542,72.1,48007,0,Medium
71,Fuselage_Frame,Al_7075-T6,1g_Level_Flight,9.36,82.56,391.44,-0.836,42.54,127.63,3.0,-0.893,0.000557,0.6731,71.7,503,2.81,30.4,24418,159,47.8054,1.957792e-06,0.0001,3.941,0.2537,71.2,49993,0,Medium
72,Fuselage_Frame,CFRP,1g_Level_Flight,7.04,28.87,370.15,2.34,96.2,144.29,1.5,0.524,0.000815,0.4605,135.0,600,1.6,-33.0,5173,300,50.0,5.2984619e-05,0.0001,4.158,0.2405,76.25,49997,0,Low
73,Wing_Spar,Al_7075-T6,Ground_Taxi,3.76,63.54,658.9,0.888,87.0,174.01,2.0,-0.793,0.000954,0.4773,71.7,503,2.81,87.2,18457,159,50.0,0.000108470406,0.0017,2.891,0.3459,69.38,49917,0,Medium
74,Fuselage_Frame,Ti-6Al-4V,2.5g_Pull_Up,8.72,40.21,414.16,3.276,86.29,215.73,2.5,-0.175,0.00074,0.4927,113.8,880,4.43,-9.4,5956,510,50.0,9.2973841e-05,0.0,4.079,0.2452,78.05,49999,0,Low
75,Engine_Mount,Inconel_718,Gust_Load,34.81,112.14,672.73,1.283,66.73,166.82,2.5,-0.735,0.000297,0.2642,200.0,1034,8.19,213.3,8686,620,50.0,0.000113107992,0.0,6.198,0.1613,63.52,49999,0,Medium
76,Fuselage_Frame,Al_2024-T3,Hard_Landing,23.24,31.25,71.75,0.679,15.98,31.96,2.0,-0.213,0.000218,0.001,73.1,345,2.78,80.4,1969,138,0.1681,8.5357e-08,0.0,10.0,0.0926,85.61,49999,0,Low
77,Tail_Assembly,Steel_4340,2.5g_Pull_Up,20.98,53.29,170.94,-0.622,25.39,50.79,2.0,-0.629,6.9e-05,0.5501,205.0,470,7.85,78.6,26962,413,9.1542,3.39522e-07,0.0,9.255,0.1081,81.29,49999,0,Low
78,Tail_Assembly,Inconel_718,Ground_Taxi,13.45,115.34,473.29,1.159,32.54,81.35,2.5,0.145,0.000265,0.001,200.0,1034,8.19,101.9,15615,620,6.0127,3.85058e-07,0.0,10.0,0.0787,89.03,49999,0,Low
79,Rib_Section,CFRP,Ground_Taxi,6.99,41.65,805.55,-0.052,215.43,215.43,1.0,-0.848,0.00157,1.0677,135.0,600,1.6,-49.1,29812,300,50.0,1.2056032e-05,0.0079,2.785,0.3591,74.6,49603,0,Medium
80,Tail_Assembly,Al_2024-T3,2.5g_Pull_Up,10.51,79.13,72.8,0.406,9.88,9.88,1.0,0.211,0.000148,0.001,73.1,345,2.78,98.0,3794,138,0.0007,1.77e-10,0.0,10.0,0.0286,89.59,49999,0,Low
81,Rib_Section,Al_2024-T3,Neg1g_Push_Over,29.2,41.42,46.19,3.268,14.12,21.18,1.5,-0.051,0.000282,0.4241,73.1,345,2.78,83.6,2077,138,0.0844,4.0655e-08,0.0,10.0,0.0614,93.86,49999,0,Low
82,Tail_Assembly,Ti-6Al-4V,Ground_Taxi,8.08,17.73,141.5,0.231,70.53,141.06,2.0,0.092,0.000625,0.001,113.8,880,4.43,36.9,25347,510,50.0,4.708474e-06,0.0,6.239,0.1603,64.02,49999,0,Medium
83,Engine_Mount,Inconel_718,Gust_Load,34.13,77.17,548.57,0.35,70.64,70.64,1.0,-0.368,0.000226,0.001,200.0,1034,8.19,148.2,31676,620,50.0,3.949616e-06,0.0,10.0,0.0683,78.69,49999,0,Low
84,Skin_Panel,Inconel_718,Pressurization,10.26,110.34,345.15,1.171,16.64,41.61,2.5,0.68,4.1e-05,0.001,200.0,1034,8.19,40.4,2829,620,1.0677,3.77414e-07,0.0,10.0,0.0402,92.57,49999,0,Low
85,Rib_Section,Al_7075-T6,Hard_Landing,20.55,57.04,703.46,2.302,128.47,192.71,1.5,-0.817,0.001779,0.2606,71.7,503,2.81,-21.1,15404,159,50.0,6.3128825e-05,0.0066,2.61,0.3831,80.02,49671,0,Low
86,Landing_Gear,Ti-6Al-4V,2.5g_Pull_Up,8.4,77.01,70.42,0.475,5.0,7.5,1.5,0.611,1e-05,0.001,113.8,880,4.43,113.9,2705,510,0.0004,1.64e-10,0.0,10.0,0.0085,90.29,49999,0,Low
87,Bulkhead,Al_7075-T6,Neg1g_Push_Over,33.16,75.02,174.99,-0.132,34.49,34.49,1.0,-0.012,0.00041,0.438,71.7,503,2.81,69.0,219,159,0.0039,1.7608e-08,0.0,10.0,0.0686,100.0,49999,0,Low
88,Wing_Spar,Al_7075-T6,2.5g_Pull_Up,19.58,52.74,262.02,1.951,38.66,77.32,2.0,0.524,0.000532,0.2145,71.7,503,2.81,290.2,11724,159,34.6747,2.957584e-06,0.0,6.505,0.1537,66.85,49997,0,Medium
89,Tail_Assembly,Al_2024-T3,Neg1g_Push_Over,27.86,75.71,536.45,-0.774,85.08,212.7,2.5,0.447,0.001365,0.6363,73.1,345,2.78,87.3,45033,138,50.0,0.000296801928,0.0065,1.622,0.6165,59.38,49674,0,Medium
90,Fuselage_Frame,Inconel_718,Neg1g_Push_Over,3.81,34.82,585.55,1.854,196.77,295.15,1.5,-0.558,0.001021,0.4537,200.0,1034,8.19,38.2,13392,620,50.0,0.000866363627,0.0001,3.503,0.2854,63.55,49993,0,Medium
91,Skin_Panel,Al_7075-T6,Gust_Load,22.42,48.47,114.33,2.542,23.6,35.4,1.5,-0.613,0.000345,0.0106,71.7,503,2.81,-44.5,8408,159,0.3041,3.6166e-08,0.0,10.0,0.0704,94.64,49999,0,Low
92,Tail_Assembly,CFRP,Hard_Landing,23.25,55.87,802.8,1.89,163.37,163.37,1.0,-0.109,0.001379,0.6339,135.0,600,1.6,-9.7,4970,300,50.0,0.00011125926,0.0004,3.673,0.2723,75.08,49978,0,Low
93,Fuselage_Frame,CFRP,Ground_Taxi,13.47,104.36,296.48,1.007,39.68,59.52,1.5,0.279,0.000353,0.3073,135.0,600,1.6,116.8,4958,300,8.0573,1.625121e-06,0.0,10.0,0.0992,96.24,49999,0,Low
94,Bulkhead,Inconel_718,Neg1g_Push_Over,10.4,45.06,609.06,2.229,113.68,227.36,2.0,-0.388,0.000641,0.098,200.0,1034,8.19,93.9,4579,620,50.0,0.000194076064,0.0,4.548,0.2199,67.24,49999,0,Medium
95,Bulkhead,CFRP,Ground_Taxi,20.62,78.04,450.33,-0.916,59.37,207.79,3.5,0.607,0.000399,0.001,135.0,600,1.6,107.3,3519,300,18.5,5.257177e-06,0.0,2.888,0.3463,67.27,49999,0,Medium
96,Bulkhead,Al_2024-T3,Hard_Landing,30.7,29.54,197.12,1.556,74.24,148.49,2.0,-0.389,0.000889,0.4538,73.1,345,2.78,-37.9,1032,138,50.0,5.1254387e-05,0.0001,2.323,0.4304,62.87,49995,0,Medium
97,Fuselage_Frame,Ti-6Al-4V,Ground_Taxi,16.63,34.05,720.83,1.39,220.69,441.38,2.0,-0.925,0.001965,0.9758,113.8,880,4.43,-11.6,21225,510,50.0,9.7209624e-05,0.0007,1.994,0.5016,70.49,49962,0,Medium
98,Tail_Assembly,Steel_4340,Gust_Load,31.76,79.57,697.32,3.433,90.31,270.93,3.0,0.328,0.000623,0.0894,205.0,470,7.85,-43.9,5682,413,50.0,0.00021650424,0.0,1.735,0.5764,64.57,49999,0,Medium
99,Bulkhead,Al_7075-T6,Gust_Load,16.89,92.67,342.7,2.307,39.46,39.46,1.0,-0.706,0.000702,0.4713,71.7,503,2.81,88.9,2545,159,0.8313,3.26632e-07,0.0,10.0,0.0785,89.55,49999,0,Low
100,Engine_Mount,Steel_4340,1g_Level_Flight,11.57,58.14,504.43,0.673,86.83,217.08,2.5,0.651,0.000489,0.001,205.0,470,7.85,91.5,13902,413,50.0,8.43936e-06,0.0,2.165,0.4619,63.92,49998,0,Medium
101,Rib_Section,Ti-6Al-4V,Gust_Load,2.83,43.54,226.57,1.103,54.04,135.1,2.5,0.182,0.000406,0.474,113.8,880,4.43,16.8,40852,510,50.0,4.5482871e-05,0.0,6.514,0.1535,66.34,49999,0,Medium
102,Fuselage_Frame,Ti-6Al-4V,Neg1g_Push_Over,25.61,109.68,589.48,-0.578,35.39,70.78,2.0,-0.457,0.000156,0.077,113.8,880,4.43,-7.8,17494,510,50.0,4.042672e-06,0.0,10.0,0.0804,65.97,49999,0,Medium
103,Fuselage_Frame,Al_2024-T3,Hard_Landing,26.03,20.62,269.58,-0.272,127.21,127.21,1.0,-0.224,0.001658,0.5323,73.1,345,2.78,107.8,3194,138,50.0,1.8654432e-05,0.0023,2.712,0.3687,68.77,49884,0,Medium
104,Tail_Assembly,CFRP,Gust_Load,24.02,87.88,719.03,2.28,60.02,180.07,3.0,-0.25,0.000466,0.2743,135.0,600,1.6,51.5,8019,300,50.0,9.0607935e-05,0.0,3.332,0.3001,74.46,49999,0,Medium
105,Fuselage_Frame,CFRP,2.5g_Pull_Up,5.73,84.37,192.6,2.352,15.36,30.73,2.0,-0.013,6.7e-05,0.1478,135.0,600,1.6,84.9,26158,300,1.0823,4.1375e-08,0.0,10.0,0.0512,85.1,49999,0,Low
106,Fuselage_Frame,Ti-6Al-4V,Hard_Landing,23.18,84.38,22.43,0.396,5.0,5.0,1.0,-0.597,0.000144,0.164,113.8,880,4.43,50.4,779,510,0.0,3e-11,0.0,10.0,0.0057,100.0,49999,0,Low
